Date,Close,Prediction,Pred_Binary,Actual,Return,Position,Strategy_Return,Position_Change,Transaction_Cost,Cumulative_Return,Strategy_Cumulative_Return,Buy_Hold_Value,Strategy_Value,Buy_Hold_Peak,Strategy_Peak,Buy_Hold_Drawdown,Strategy_Drawdown
2020-06-02,78.68024444580078,0.52466583,1,1,0.004629500643627438,1.0,0.004629500643627438,0.0,0.0,3.9174642778167676,3.066845772872407,49174.642778167676,40668.45772872407,49627.34251275097,40668.45772872407,-0.009121982190905764,0.0
2020-06-03,79.11338806152344,0.52202874,1,0,0.0055051127353960005,1.0,0.0055051127353960005,0.0,0.0,3.9445354730384317,3.0892342173295377,49445.354730384315,40892.34217329538,49627.34251275097,40892.34217329538,-0.0036670869958409513,0.0
2020-06-04,78.43205261230469,0.5183944,1,1,-0.008612138424521798,1.0,-0.008612138424521798,0.0,0.0,3.9019524490996664,3.0540171661996043,49019.524490996664,40540.17166199604,49627.34251275097,40892.34217329538,-0.012247643959539811,-0.008612138424521909
2020-06-05,80.6658706665039,0.5383435,1,1,0.028480933238367978,1.0,0.028480933238367978,0.0,0.0,4.041564629540129,3.169479358457333,50415.64629540129,41694.79358457333,50415.64629540129,41694.79358457333,0.0,0.0
2020-06-08,81.14279174804688,0.5317237,1,1,0.005912303153767562,1.0,0.005912303153767562,0.0,0.0,4.071371887999281,3.194130584417909,50713.71887999281,41941.30584417909,50713.71887999281,41941.30584417909,0.0,0.0
2020-06-09,83.70514678955078,0.54697126,1,1,0.031578344623145016,1.0,0.031578344623145016,0.0,0.0,4.231517417190652,3.3265742854071307,52315.17417190652,43265.74285407131,52315.17417190652,43265.74285407131,0.0,0.0
2020-06-10,85.85865783691406,0.54769874,1,0,0.025727343299183136,1.0,0.025727343299183136,0.0,0.0,4.366110461758372,3.437885547357218,53661.10461758372,44378.85547357218,53661.10461758372,44378.85547357218,0.0,0.0
2020-06-11,81.73651885986328,0.45378533,0,1,-0.048010754895338126,1.0,-0.048010754895338126,0.0,0.0,4.108479447637581,3.224819312089487,51084.79447637581,42248.193120894866,53661.10461758372,44378.85547357218,-0.048010754895338015,-0.048010754895338126
2020-06-12,82.44220733642578,0.48368546,0,1,0.008633698699260783,0.0,-0.001,1.0,0.001,4.15258451999985,3.2205944927773977,51525.845199998505,42205.94492777398,53661.10461758372,44378.85547357218,-0.039791566588167626,-0.04896274414044277
2020-06-15,83.4617919921875,0.53039885,1,1,0.01236726536931565,0.0,0.0,0.0,0.0,4.216307900096516,3.2205944927773977,52163.07900096516,42205.94492777398,53661.10461758372,44378.85547357218,-0.027916414082308716,-0.04896274414044277
2020-06-16,85.67371368408203,0.5111562,1,0,0.02650220704704709,1.0,0.025502207047047087,1.0,0.001,4.354551572086021,3.328228967393833,53545.51572086021,43282.28967393833,53661.10461758372,44378.85547357218,-0.0021540536212821815,-0.024709195132056938
2020-06-17,85.55448913574219,0.5093769,1,1,-0.00139161176997038,1.0,-0.00139161176997038,0.0,0.0,4.347100115095393,3.3222057530196807,53471.00115095393,43222.057530196806,53661.10461758372,44378.85547357218,-0.0035426677848798827,-0.02606642129525516
2020-06-18,85.58856201171875,0.51684827,1,0,0.00039825935869353124,1.0,0.00039825935869353124,0.0,0.0,4.349229647758101,3.3239271119110194,53492.29647758101,43239.27111911019,53661.10461758372,44378.85547357218,-0.003145819326786481,-0.025678543132790166
2020-06-19,85.09945678710938,0.46627444,0,1,-0.005714609675792959,1.0,-0.005714609675792959,0.0,0.0,4.318660888254984,3.299217556199869,53186.60888254984,42992.17556199869,53661.10461758372,44378.85547357218,-0.008842451873016355,-0.03124640995753636
2020-06-22,87.32597351074219,0.53176737,1,1,0.026163700776643317,0.0,-0.001,1.0,0.001,4.457816740267723,3.2949183386436687,54578.16740267723,42949.183386436685,54578.16740267723,44378.85547357218,0.0,-0.03221516354757881
2020-06-23,89.18993377685547,0.500036,1,0,0.021344855272457774,1.0,0.020344855272457774,1.0,0.001,4.574313048692335,3.3822978306503995,55743.13048692335,43822.978306503996,55743.13048692335,44378.85547357218,0.0,-0.012525721115074884
2020-06-24,87.61555480957031,0.48009256,0,1,-0.017651980449095328,1.0,-0.017651980449095328,0.0,0.0,4.475915383739681,3.3049415950216456,54759.15383739681,43049.415950216455,55743.13048692335,44378.85547357218,-0.017651980449095328,-0.0299565977799362
2020-06-25,88.7786865234375,0.526296,1,0,0.013275402026446281,0.0,-0.001,1.0,0.001,4.548610361921627,3.300636653426624,55486.10361921627,43006.366534266235,55743.13048692335,44378.85547357218,-0.004610915559673745,-0.030926641182156378
2020-06-26,86.0509033203125,0.45670888,0,1,-0.03072565398233129,1.0,-0.03172565398233129,1.0,0.001,4.378125679858445,3.1641961430562793,53781.25679858445,41641.96143056279,55743.13048692335,44378.85547357218,-0.03519489614597682,-0.061671127247506896
2020-06-29,88.0340805053711,0.5259514,1,1,0.023046558589588484,0.0,-0.001,1.0,0.001,4.502072968441473,3.1600319469132234,55020.72968441473,41600.319469132235,55743.13048692335,44378.85547357218,-0.012959458792471068,-0.06260945612025925
2020-06-30,88.7689437866211,0.5164274,1,0,0.008347486303388552,1.0,0.0073474863033885516,1.0,0.001,4.548001447185783,3.190597724664827,55480.01447185783,41905.97724664827,55743.13048692335,44378.85547357218,-0.004720151393851846,-0.05572199193817695
2020-07-01,88.60104370117188,0.5118426,1,0,-0.0018914282212573186,1.0,-0.0018914282212573186,0.0,0.0,4.537507800676999,3.182671509864459,55375.07800676999,41826.71509864459,55743.13048692335,44378.85547357218,-0.00660265178755437,-0.05750802601133764
2020-07-02,88.60104370117188,0.5050422,1,1,0.0,1.0,0.0,0.0,0.0,4.537507800676999,3.182671509864459,55375.07800676999,41826.71509864459,55743.13048692335,44378.85547357218,-0.00660265178755437,-0.05750802601133764
2020-07-06,90.97116088867188,0.52981377,1,0,0.02675044320576836,1.0,0.02675044320576836,0.0,0.0,4.685638588600509,3.2945598265374736,56856.38588600509,42945.598265374734,56856.38588600509,44378.85547357218,0.0,-0.03229594798926161
2020-07-07,90.68887329101562,0.5097503,1,1,-0.0031030449089431977,1.0,-0.0031030449089431977,0.0,0.0,4.667995796724061,3.281233614531584,56679.95796724061,42812.33614531584,56856.38588600509,44378.85547357218,-0.0031030449089431977,-0.035298777121217206
2020-07-08,92.80101776123047,0.5317399,1,1,0.02329000674026549,1.0,0.02329000674026549,0.0,0.0,4.8000034570335615,3.3809435742706757,58000.034570335614,43809.43574270676,58000.034570335614,44378.85547357218,0.0,-0.01283087913802805
2020-07-09,93.2000961303711,0.46784422,0,1,0.004300366297354863,1.0,0.004300366297354863,0.0,0.0,4.8249455964247305,3.3997832363680827,58249.4559642473,43997.83236368083,58249.4559642473,44378.85547357218,0.0,-0.008585690320883854
2020-07-10,93.36315155029297,0.47499672,0,0,0.0017495198684536195,0.0,-0.001,1.0,0.001,4.835136454478337,3.395383453131714,58351.36454478337,43953.834531317145,58351.36454478337,44378.85547357218,0.0,-0.009577104630562938
2020-07-13,92.93242645263672,0.46690693,0,1,-0.004613437855343072,0.0,-0.0,0.0,0.0,4.808216415068155,3.395383453131714,58082.16415068155,43953.834531317145,58351.36454478337,44378.85547357218,-0.004613437855342961,-0.009577104630562938
2020-07-14,94.47032165527344,0.39890072,0,1,0.016548531673392874,0.0,0.0,0.0,0.0,4.9043338683788305,3.395383453131714,59043.33868378831,43953.834531317145,59043.33868378831,44378.85547357218,0.0,-0.009577104630562938
2020-07-15,95.12002563476562,0.4534152,0,0,0.006877334258085677,0.0,0.0,0.0,0.0,4.944939945963008,3.395383453131714,59449.39945963008,43953.834531317145,59449.39945963008,44378.85547357218,0.0,-0.009577104630562938
2020-07-16,93.94957733154297,0.46896914,0,0,-0.012304962024682897,0.0,-0.0,0.0,0.0,4.871787685688913,3.395383453131714,58717.87685688913,43953.834531317145,59449.39945963008,44378.85547357218,-0.012304962024682897,-0.009577104630562938
2020-07-17,93.75977325439453,0.47132963,0,1,-0.0020202760091045935,0.0,-0.0,0.0,0.0,4.85992505389696,3.395383453131714,58599.2505389696,43953.834531317145,59449.39945963008,44378.85547357218,-0.01430037861421607,-0.009577104630562938
2020-07-20,95.73565673828125,0.40658313,0,0,0.021073893582545633,0.0,0.0,0.0,0.0,4.983416490884478,3.395383453131714,59834.16490884478,43953.834531317145,59834.16490884478,44378.85547357218,0.0,-0.009577104630562938
2020-07-21,94.41435241699219,0.47704962,0,1,-0.01380159040326212,0.0,-0.0,0.0,0.0,4.900835827265166,3.395383453131714,59008.35827265166,43953.834531317145,59834.16490884478,44378.85547357218,-0.013801590403262232,-0.009577104630562938
2020-07-22,94.67958068847656,0.46205717,0,0,0.002809194414774563,0.0,0.0,0.0,0.0,4.917412422313621,3.395383453131714,59174.12422313621,43953.834531317145,59834.16490884478,44378.85547357218,-0.011031167339163428,-0.009577104630562938
2020-07-23,90.37010955810547,0.53073883,1,0,-0.04551637321409896,0.0,-0.0,0.0,0.0,4.648073270037849,3.395383453131714,56480.73270037849,43953.834531317145,59834.16490884478,44378.85547357218,-0.05604544182366589,-0.009577104630562938
2020-07-24,90.14624786376953,0.42788127,0,1,-0.0024771652422530543,1.0,-0.0034771652422530544,1.0,0.001,4.634082059247612,3.38009997856211,56340.82059247612,43800.9997856211,59834.16490884478,44378.85547357218,-0.058383773245446746,-0.013020968697473378
2020-07-27,92.28272247314453,0.44968793,0,0,0.023700094679522055,0.0,-0.001,1.0,0.001,4.767610337483977,3.3757198785835483,57676.10337483977,43757.198785835484,59834.16490884478,44378.85547357218,-0.036067379519589604,-0.014007947728775783
2020-07-28,90.7667465209961,0.4893012,0,1,-0.01642751656562369,0.0,-0.0,0.0,0.0,4.672862823120897,3.3757198785835483,56728.62823120897,43757.198785835484,59834.16490884478,44378.85547357218,-0.05190239861067647,-0.014007947728775783
2020-07-29,92.50659942626953,0.45635125,0,1,0.01916839560698569,0.0,0.0,0.0,0.0,4.78160250193864,3.3757198785835483,57816.025019386405,43757.198785835484,59834.16490884478,44378.85547357218,-0.03372888871321156,-0.014007947728775783
2020-07-30,93.6259536743164,0.43503794,0,1,0.012100263710796533,0.0,0.0,0.0,0.0,4.851561416883099,3.3757198785835483,58515.61416883099,43757.198785835484,59834.16490884478,44378.85547357218,-0.022036753450517144,-0.014007947728775783
2020-07-31,103.42753601074219,0.46738347,0,1,0.10468873161517989,0.0,0.0,0.0,0.0,5.464153959584915,3.3757198785835483,64641.53959584915,43757.198785835484,64641.53959584915,44378.85547357218,0.0,-0.014007947728775783
2020-08-03,106.03364562988281,0.4373319,0,1,0.02519744470050944,0.0,0.0,0.0,0.0,5.627034121517135,3.3757198785835483,66270.34121517136,43757.198785835484,66270.34121517136,44378.85547357218,0.0,-0.014007947728775783
2020-08-04,106.74174499511719,0.45410767,0,1,0.006678062996211986,0.0,0.0,0.0,0.0,5.671289872858673,3.3757198785835483,66712.89872858673,43757.198785835484,66712.89872858673,44378.85547357218,0.0,-0.014007947728775783
